pdv_id,point_of_sale,channel,zone
PDV-001,Punto de venta 001,Supermercados,Merida Norte
PDV-002,Punto de venta 002,Supermercados,Merida Sur
PDV-003,Punto de venta 003,Supermercados,Yucatan Costa
PDV-004,Punto de venta 004,Supermercados,Yucatan Interior
PDV-005,Punto de venta 005,Supermercados,Merida Norte
PDV-006,Punto de venta 006,Supermercados,Merida Sur
PDV-007,Punto de venta 007,Supermercados,Yucatan Costa
PDV-008,Punto de venta 008,Supermercados,Yucatan Interior
PDV-009,Punto de venta 009,Supermercados,Merida Norte
PDV-010,Punto de venta 010,Supermercados,Merida Sur
PDV-011,Punto de venta 011,Supermercados,Yucatan Costa
PDV-012,Punto de venta 012,Supermercados,Yucatan Interior
PDV-013,Punto de venta 013,Supermercados,Merida Norte
PDV-014,Punto de venta 014,Supermercados,Merida Sur
PDV-015,Punto de venta 015,Supermercados,Yucatan Costa
PDV-016,Punto de venta 016,Tiendas de abarrotes,Yucatan Interior
PDV-017,Punto de venta 017,Tiendas de abarrotes,Merida Norte
PDV-018,Punto de venta 018,Tiendas de abarrotes,Merida Sur
PDV-019,Punto de venta 019,Tiendas de abarrotes,Yucatan Costa
PDV-020,Punto de venta 020,Tiendas de abarrotes,Yucatan Interior
PDV-021,Punto de venta 021,Tiendas de abarrotes,Merida Norte
PDV-022,Punto de venta 022,Tiendas de abarrotes,Merida Sur
PDV-023,Punto de venta 023,Tiendas de abarrotes,Yucatan Costa
PDV-024,Punto de venta 024,Tiendas de abarrotes,Yucatan Interior
PDV-025,Punto de venta 025,Tiendas de abarrotes,Merida Norte
PDV-026,Punto de venta 026,Tiendas de abarrotes,Merida Sur
PDV-027,Punto de venta 027,Tiendas de abarrotes,Yucatan Costa
PDV-028,Punto de venta 028,Tiendas de abarrotes,Yucatan Interior
PDV-029,Punto de venta 029,Tiendas de abarrotes,Merida Norte
PDV-030,Punto de venta 030,Tiendas de abarrotes,Merida Sur
PDV-031,Punto de venta 031,Tiendas de abarrotes,Yucatan Costa
PDV-032,Punto de venta 032,Tiendas de abarrotes,Yucatan Interior
PDV-033,Punto de venta 033,Tiendas de abarrotes,Merida Norte
PDV-034,Punto de venta 034,Tiendas de abarrotes,Merida Sur
PDV-035,Punto de venta 035,Tiendas de abarrotes,Yucatan Costa
PDV-036,Punto de venta 036,Tiendas de abarrotes,Yucatan Interior
PDV-037,Punto de venta 037,Tiendas de abarrotes,Merida Norte
PDV-038,Punto de venta 038,Tiendas de abarrotes,Merida Sur
PDV-039,Punto de venta 039,Tiendas de abarrotes,Yucatan Costa
PDV-040,Punto de venta 040,Tiendas de abarrotes,Yucatan Interior
PDV-041,Punto de venta 041,Tiendas de abarrotes,Merida Norte
PDV-042,Punto de venta 042,Tiendas de abarrotes,Merida Sur
PDV-043,Punto de venta 043,Tiendas de abarrotes,Yucatan Costa
PDV-044,Punto de venta 044,Tiendas de abarrotes,Yucatan Interior
PDV-045,Punto de venta 045,Tiendas de abarrotes,Merida Norte
PDV-046,Punto de venta 046,Tiendas de abarrotes,Merida Sur
PDV-047,Punto de venta 047,Tiendas de abarrotes,Yucatan Costa
PDV-048,Punto de venta 048,Tiendas de abarrotes,Yucatan Interior
PDV-049,Punto de venta 049,Tiendas de abarrotes,Merida Norte
PDV-050,Punto de venta 050,Tiendas de abarrotes,Merida Sur
PDV-051,Punto de venta 051,Food service,Yucatan Costa
PDV-052,Punto de venta 052,Food service,Yucatan Interior
PDV-053,Punto de venta 053,Food service,Merida Norte
PDV-054,Punto de venta 054,Food service,Merida Sur
PDV-055,Punto de venta 055,Food service,Yucatan Costa
PDV-056,Punto de venta 056,Food service,Yucatan Interior
PDV-057,Punto de venta 057,Food service,Merida Norte
PDV-058,Punto de venta 058,Food service,Merida Sur
PDV-059,Punto de venta 059,Food service,Yucatan Costa
PDV-060,Punto de venta 060,Food service,Yucatan Interior
