date,week_id,year,month_num,month,quarter,iso_week,year_week,is_year_end
2024-09-02,1,2024,9,Sep,Q3,36,2024-W36,0
2024-09-09,2,2024,9,Sep,Q3,37,2024-W37,0
2024-09-16,3,2024,9,Sep,Q3,38,2024-W38,0
2024-09-23,4,2024,9,Sep,Q3,39,2024-W39,0
2024-09-30,5,2024,9,Sep,Q3,40,2024-W40,0
2024-10-07,6,2024,10,Oct,Q4,41,2024-W41,0
2024-10-14,7,2024,10,Oct,Q4,42,2024-W42,0
2024-10-21,8,2024,10,Oct,Q4,43,2024-W43,0
2024-10-28,9,2024,10,Oct,Q4,44,2024-W44,0
2024-11-04,10,2024,11,Nov,Q4,45,2024-W45,0
2024-11-11,11,2024,11,Nov,Q4,46,2024-W46,0
2024-11-18,12,2024,11,Nov,Q4,47,2024-W47,1
2024-11-25,13,2024,11,Nov,Q4,48,2024-W48,1
2024-12-02,14,2024,12,Dec,Q4,49,2024-W49,1
2024-12-09,15,2024,12,Dec,Q4,50,2024-W50,1
2024-12-16,16,2024,12,Dec,Q4,51,2024-W51,1
2024-12-23,17,2024,12,Dec,Q4,52,2024-W52,1
2024-12-30,18,2024,12,Dec,Q4,1,2024-W01,0
2025-01-06,19,2025,1,Jan,Q1,2,2025-W02,0
2025-01-13,20,2025,1,Jan,Q1,3,2025-W03,0
2025-01-20,21,2025,1,Jan,Q1,4,2025-W04,0
2025-01-27,22,2025,1,Jan,Q1,5,2025-W05,0
2025-02-03,23,2025,2,Feb,Q1,6,2025-W06,0
2025-02-10,24,2025,2,Feb,Q1,7,2025-W07,0
2025-02-17,25,2025,2,Feb,Q1,8,2025-W08,0
2025-02-24,26,2025,2,Feb,Q1,9,2025-W09,0
2025-03-03,27,2025,3,Mar,Q1,10,2025-W10,0
2025-03-10,28,2025,3,Mar,Q1,11,2025-W11,0
2025-03-17,29,2025,3,Mar,Q1,12,2025-W12,0
2025-03-24,30,2025,3,Mar,Q1,13,2025-W13,0
2025-03-31,31,2025,3,Mar,Q1,14,2025-W14,0
2025-04-07,32,2025,4,Apr,Q2,15,2025-W15,0
2025-04-14,33,2025,4,Apr,Q2,16,2025-W16,0
2025-04-21,34,2025,4,Apr,Q2,17,2025-W17,0
2025-04-28,35,2025,4,Apr,Q2,18,2025-W18,0
2025-05-05,36,2025,5,May,Q2,19,2025-W19,0
2025-05-12,37,2025,5,May,Q2,20,2025-W20,0
2025-05-19,38,2025,5,May,Q2,21,2025-W21,0
2025-05-26,39,2025,5,May,Q2,22,2025-W22,0
2025-06-02,40,2025,6,Jun,Q2,23,2025-W23,0
2025-06-09,41,2025,6,Jun,Q2,24,2025-W24,0
2025-06-16,42,2025,6,Jun,Q2,25,2025-W25,0
2025-06-23,43,2025,6,Jun,Q2,26,2025-W26,0
2025-06-30,44,2025,6,Jun,Q2,27,2025-W27,0
2025-07-07,45,2025,7,Jul,Q3,28,2025-W28,0
2025-07-14,46,2025,7,Jul,Q3,29,2025-W29,0
2025-07-21,47,2025,7,Jul,Q3,30,2025-W30,0
2025-07-28,48,2025,7,Jul,Q3,31,2025-W31,0
2025-08-04,49,2025,8,Aug,Q3,32,2025-W32,0
2025-08-11,50,2025,8,Aug,Q3,33,2025-W33,0
2025-08-18,51,2025,8,Aug,Q3,34,2025-W34,0
2025-08-25,52,2025,8,Aug,Q3,35,2025-W35,0
2025-09-01,53,2025,9,Sep,Q3,36,2025-W36,0
2025-09-08,54,2025,9,Sep,Q3,37,2025-W37,0
2025-09-15,55,2025,9,Sep,Q3,38,2025-W38,0
