date,week_id,year_week,pdv_id,sku,units_ordered,units_delivered,units_sold,list_price,discount_pct,net_price,unit_cost,revenue,cost_of_sales,contribution,opening_inventory,ending_inventory,promotion_flag,numeric_distribution
2024-09-02,1,2024-W36,PDV-001,CFCL-355,29,26,32,35.0,0.1,31.5,16.5,1008.0,528.0,480.0,9,3,1,0.9329
2024-09-02,1,2024-W36,PDV-002,CFCL-355,26,24,23,35.0,0.15,29.75,16.5,684.25,379.5,304.75,9,10,1,0.9726
2024-09-02,1,2024-W36,PDV-003,CFCL-355,25,24,19,35.0,0.0,35.0,16.5,665.0,313.5,351.5,7,12,0,0.9783
2024-09-02,1,2024-W36,PDV-004,CFCL-355,29,28,29,35.0,0.0,35.0,16.5,1015.0,478.5,536.5,11,10,0,0.9798
2024-09-02,1,2024-W36,PDV-005,CFCL-355,22,20,26,35.0,0.0,35.0,16.5,910.0,429.0,481.0,8,2,0,0.9541
2024-09-02,1,2024-W36,PDV-006,CFCL-355,14,14,11,35.0,0.0,35.0,16.5,385.0,181.5,203.5,5,8,0,1.0
2024-09-02,1,2024-W36,PDV-007,CFCL-355,21,21,19,35.0,0.0,35.0,16.5,665.0,313.5,351.5,6,8,0,0.9735
2024-09-02,1,2024-W36,PDV-008,CFCL-355,16,16,10,35.0,0.0,35.0,16.5,350.0,165.0,185.0,8,14,0,0.9136
2024-09-02,1,2024-W36,PDV-009,CFCL-355,19,19,10,35.0,0.0,35.0,16.5,350.0,165.0,185.0,8,17,0,0.9571
2024-09-02,1,2024-W36,PDV-010,CFCL-355,19,18,7,35.0,0.0,35.0,16.5,245.0,115.5,129.5,6,17,0,0.9292
2024-09-02,1,2024-W36,PDV-011,CFCL-355,36,34,29,35.0,0.0,35.0,16.5,1015.0,478.5,536.5,8,13,0,0.9776
2024-09-02,1,2024-W36,PDV-012,CFCL-355,17,16,15,35.0,0.0,35.0,16.5,525.0,247.5,277.5,5,6,0,0.9651
2024-09-02,1,2024-W36,PDV-013,CFCL-355,25,23,30,35.0,0.0,35.0,16.5,1050.0,495.0,555.0,11,4,0,0.9226
2024-09-02,1,2024-W36,PDV-014,CFCL-355,32,31,22,35.0,0.05,33.25,16.5,731.5,363.0,368.5,13,22,1,0.9893
2024-09-02,1,2024-W36,PDV-015,CFCL-355,30,29,26,35.0,0.0,35.0,16.5,910.0,429.0,481.0,11,14,0,0.945
2024-09-02,1,2024-W36,PDV-016,CFCL-355,16,15,11,35.0,0.0,35.0,16.5,385.0,181.5,203.5,4,8,0,0.9308
2024-09-02,1,2024-W36,PDV-017,CFCL-355,17,16,13,35.0,0.15,29.75,16.5,386.75,214.5,172.25,5,8,1,0.906
2024-09-02,1,2024-W36,PDV-018,CFCL-355,13,13,13,35.0,0.0,35.0,16.5,455.0,214.5,240.5,4,4,0,0.9311
2024-09-02,1,2024-W36,PDV-019,CFCL-355,21,21,22,35.0,0.1,31.5,16.5,693.0,363.0,330.0,7,6,1,0.9695
2024-09-02,1,2024-W36,PDV-020,CFCL-355,6,6,9,35.0,0.0,35.0,16.5,315.0,148.5,166.5,3,0,0,1.0
2024-09-02,1,2024-W36,PDV-021,CFCL-355,22,21,23,35.0,0.0,35.0,16.5,805.0,379.5,425.5,10,8,0,0.9747
2024-09-02,1,2024-W36,PDV-022,CFCL-355,16,16,21,35.0,0.0,35.0,16.5,735.0,346.5,388.5,5,0,0,0.9842
2024-09-02,1,2024-W36,PDV-023,CFCL-355,14,13,13,35.0,0.0,35.0,16.5,455.0,214.5,240.5,6,6,0,0.9108
2024-09-02,1,2024-W36,PDV-024,CFCL-355,12,12,12,35.0,0.0,35.0,16.5,420.0,198.0,222.0,5,5,0,0.9071
2024-09-02,1,2024-W36,PDV-025,CFCL-355,20,19,15,35.0,0.0,35.0,16.5,525.0,247.5,277.5,5,9,0,0.9679
2024-09-02,1,2024-W36,PDV-026,CFCL-355,12,11,7,35.0,0.05,33.25,16.5,232.75,115.5,117.25,3,7,1,0.9349
2024-09-02,1,2024-W36,PDV-027,CFCL-355,14,13,17,35.0,0.0,35.0,16.5,595.0,280.5,314.5,4,0,0,0.927
2024-09-02,1,2024-W36,PDV-028,CFCL-355,8,8,9,35.0,0.0,35.0,16.5,315.0,148.5,166.5,2,1,0,0.9831
2024-09-02,1,2024-W36,PDV-029,CFCL-355,15,14,20,35.0,0.0,35.0,16.5,700.0,330.0,370.0,6,0,0,0.9417
2024-09-02,1,2024-W36,PDV-030,CFCL-355,13,13,7,35.0,0.0,35.0,16.5,245.0,115.5,129.5,6,12,0,0.9842
2024-09-02,1,2024-W36,PDV-031,CFCL-355,22,21,23,35.0,0.0,35.0,16.5,805.0,379.5,425.5,7,5,0,0.9197
2024-09-02,1,2024-W36,PDV-032,CFCL-355,9,9,8,35.0,0.0,35.0,16.5,280.0,132.0,148.0,2,3,0,0.9964
2024-09-02,1,2024-W36,PDV-033,CFCL-355,17,16,22,35.0,0.0,35.0,16.5,770.0,363.0,407.0,7,1,0,0.8646
2024-09-02,1,2024-W36,PDV-034,CFCL-355,8,8,10,35.0,0.0,35.0,16.5,350.0,165.0,185.0,3,1,0,0.9291
2024-09-02,1,2024-W36,PDV-035,CFCL-355,10,10,15,35.0,0.0,35.0,16.5,525.0,247.5,277.5,5,0,0,0.933
2024-09-02,1,2024-W36,PDV-036,CFCL-355,16,16,13,35.0,0.0,35.0,16.5,455.0,214.5,240.5,5,8,0,0.9528
2024-09-02,1,2024-W36,PDV-037,CFCL-355,14,13,12,35.0,0.0,35.0,16.5,420.0,198.0,222.0,5,6,0,0.8947
2024-09-02,1,2024-W36,PDV-038,CFCL-355,17,16,14,35.0,0.1,31.5,16.5,441.0,231.0,210.0,6,8,1,0.9654
2024-09-02,1,2024-W36,PDV-039,CFCL-355,13,12,15,35.0,0.0,35.0,16.5,525.0,247.5,277.5,3,0,0,0.9154
2024-09-02,1,2024-W36,PDV-040,CFCL-355,6,6,4,35.0,0.0,35.0,16.5,140.0,66.0,74.0,2,4,0,0.9122
