date,sku,method,forecast_units
2026-08-31,CFCL-355,Promedio movil 8s,877.0
2026-09-07,CFCL-355,Promedio movil 8s,879.25
2026-09-14,CFCL-355,Promedio movil 8s,881.78125
2026-09-21,CFCL-355,Promedio movil 8s,883.25390625
2026-09-28,CFCL-355,Promedio movil 8s,889.03564453125
2026-10-05,CFCL-355,Promedio movil 8s,896.9151000976562
2026-10-12,CFCL-355,Promedio movil 8s,896.5294876098633
2026-10-19,CFCL-355,Promedio movil 8s,897.4706735610962
2026-08-31,CFMO-355,Promedio movil 8s,529.25
2026-09-07,CFMO-355,Promedio movil 8s,528.15625
2026-09-14,CFMO-355,Promedio movil 8s,533.67578125
2026-09-21,CFMO-355,Promedio movil 8s,536.38525390625
2026-09-28,CFMO-355,Promedio movil 8s,538.9334106445312
2026-10-05,CFMO-355,Promedio movil 8s,539.5500869750977
2026-10-12,CFMO-355,Promedio movil 8s,535.9938478469849
2026-10-19,CFMO-355,Promedio movil 8s,537.493078827858
2026-08-31,CFVN-355,Promedio movil 8s,644.25
2026-09-07,CFVN-355,Promedio movil 8s,641.53125
2026-09-14,CFVN-355,Promedio movil 8s,641.47265625
2026-09-21,CFVN-355,Promedio movil 8s,642.90673828125
2026-09-28,CFVN-355,Promedio movil 8s,641.8950805664062
2026-10-05,CFVN-355,Promedio movil 8s,639.631965637207
2026-10-12,CFVN-355,Promedio movil 8s,637.0859613418579
2026-10-19,CFVN-355,Promedio movil 8s,643.4717065095901
2026-08-31,ENRG-473,Promedio movil 8s,490.375
2026-09-07,ENRG-473,Promedio movil 8s,492.921875
2026-09-14,ENRG-473,Promedio movil 8s,487.537109375
2026-09-21,ENRG-473,Promedio movil 8s,488.354248046875
2026-09-28,ENRG-473,Promedio movil 8s,480.0235290527344
2026-10-05,ENRG-473,Promedio movil 8s,478.2764701843262
2026-10-12,ENRG-473,Promedio movil 8s,477.68602895736694
2026-10-19,ENRG-473,Promedio movil 8s,484.5217825770378
2026-08-31,FRTR-500,Promedio movil 8s,732.625
2026-09-07,FRTR-500,Promedio movil 8s,733.828125
2026-09-14,FRTR-500,Promedio movil 8s,729.931640625
2026-09-21,FRTR-500,Promedio movil 8s,726.548095703125
2026-09-28,FRTR-500,Promedio movil 8s,726.6166076660156
2026-10-05,FRTR-500,Promedio movil 8s,729.4436836242676
2026-10-12,FRTR-500,Promedio movil 8s,727.499144077301
2026-10-19,FRTR-500,Promedio movil 8s,731.6865370869637
2026-08-31,TELM-500,Promedio movil 8s,820.625
2026-09-07,TELM-500,Promedio movil 8s,816.953125
2026-09-14,TELM-500,Promedio movil 8s,809.447265625
2026-09-21,TELM-500,Promedio movil 8s,805.753173828125
2026-09-28,TELM-500,Promedio movil 8s,798.5973205566406
2026-10-05,TELM-500,Promedio movil 8s,796.1719856262207
2026-10-12,TELM-500,Promedio movil 8s,799.3184838294983
2026-10-19,TELM-500,Promedio movil 8s,796.3582943081856
