date,week_id,year_week,sku,units_ordered,units_delivered,units_sold,revenue,contribution,service_level
2024-09-02,1,2024-W36,CFCL-355,1023,985,908,30983.75,16001.75,0.9628543499511242
2024-09-02,1,2024-W36,CFMO-355,624,607,544,21438.0,10830.0,0.9727564102564102
2024-09-02,1,2024-W36,CFVN-355,778,746,627,23288.3,11876.9,0.9588688946015425
2024-09-02,1,2024-W36,ENRG-473,505,492,407,18114.75,8753.75,0.9742574257425742
2024-09-02,1,2024-W36,FRTR-500,773,747,621,18373.5,9803.7,0.9663648124191462
2024-09-02,1,2024-W36,TELM-500,849,816,730,20283.2,11158.2,0.9611307420494699
2024-09-09,2,2024-W37,CFCL-355,994,954,816,28168.33,14696.01,0.959758551307847
2024-09-09,2,2024-W37,CFMO-355,631,608,538,21217.42,10719.83,0.9635499207606973
2024-09-09,2,2024-W37,CFVN-355,757,734,589,22229.2,11502.83,0.9696169088507266
2024-09-09,2,2024-W37,ENRG-473,503,489,388,17294.18,8364.66,0.9721669980119284
2024-09-09,2,2024-W37,FRTR-500,780,753,680,20077.48,10687.61,0.9653846153846154
2024-09-09,2,2024-W37,TELM-500,846,813,710,19747.79,10867.3,0.9609929078014184
2024-09-16,3,2024-W38,CFCL-355,1004,971,829,28484.17,14788.66,0.9671314741035857
2024-09-16,3,2024-W38,CFMO-355,642,621,548,21409.02,10709.82,0.9672897196261683
2024-09-16,3,2024-W38,CFVN-355,777,745,618,23288.44,12027.02,0.9588159588159588
2024-09-16,3,2024-W38,ENRG-473,515,502,424,18674.05,8910.03,0.974757281553398
2024-09-16,3,2024-W38,FRTR-500,794,765,700,20561.12,10889.210000000001,0.9634760705289672
2024-09-16,3,2024-W38,TELM-500,856,828,719,19918.27,10919.550000000001,0.9672897196261683
2024-09-23,4,2024-W39,CFCL-355,1006,972,840,29182.84,15297.07,0.9662027833001988
2024-09-23,4,2024-W39,CFMO-355,611,595,507,20079.32,10174.39,0.9738134206219312
2024-09-23,4,2024-W39,CFVN-355,788,763,689,25768.29,13205.26,0.9682741116751269
2024-09-23,4,2024-W39,ENRG-473,515,503,427,18919.41,9080.17,0.9766990291262136
2024-09-23,4,2024-W39,FRTR-500,784,753,608,18066.84,9660.869999999999,0.9604591836734694
2024-09-23,4,2024-W39,TELM-500,859,825,738,20286.78,11044.61,0.9604190919674039
2024-09-30,5,2024-W40,CFCL-355,982,945,847,29522.76,15512.58,0.9623217922606925
2024-09-30,5,2024-W40,CFMO-355,618,597,487,19383.38,9863.37,0.9660194174757282
2024-09-30,5,2024-W40,CFVN-355,772,743,648,24323.49,12500.69,0.9624352331606217
2024-09-30,5,2024-W40,ENRG-473,507,487,367,16266.7,7804.679999999999,0.960552268244576
2024-09-30,5,2024-W40,FRTR-500,796,771,691,20436.8,10877.41,0.9685929648241206
2024-09-30,5,2024-W40,TELM-500,851,816,761,20835.71,11299.58,0.9588719153936546
2024-10-07,6,2024-W41,CFCL-355,1017,976,848,29234.14,15198.75,0.95968534906588
2024-10-07,6,2024-W41,CFMO-355,624,608,524,20831.07,10581.32,0.9743589743589743
2024-10-07,6,2024-W41,CFVN-355,763,731,639,24099.21,12433.42,0.9580602883355177
2024-10-07,6,2024-W41,ENRG-473,521,508,411,18087.39,8605.05,0.9750479846449136
2024-10-07,6,2024-W41,FRTR-500,780,751,620,18471.440000000002,9888.79,0.9628205128205128
2024-10-07,6,2024-W41,TELM-500,853,821,725,19844.81,10754.18,0.9624853458382181
2024-10-14,7,2024-W42,CFCL-355,1009,960,846,29196.43,15185.52,0.9514370664023786
2024-10-14,7,2024-W42,CFMO-355,635,609,511,20001.93,10000.34,0.9590551181102362
2024-10-14,7,2024-W42,CFVN-355,770,746,628,23729.35,12257.21,0.9688311688311688
2024-10-14,7,2024-W42,ENRG-473,517,506,437,19343.42,9255.09,0.9787234042553191
2024-10-14,7,2024-W42,FRTR-500,787,750,658,19550.72,10436.59,0.9529860228716646
2024-10-14,7,2024-W42,TELM-500,860,831,685,19070.39,10476.06,0.9662790697674418
2024-10-21,8,2024-W43,CFCL-355,994,956,849,29568.8,15499.51,0.9617706237424547
2024-10-21,8,2024-W43,CFMO-355,632,610,527,20915.48,10594.18,0.9651898734177216
2024-10-21,8,2024-W43,CFVN-355,779,748,640,23951.26,12252.75,0.9602053915275995
2024-10-21,8,2024-W43,ENRG-473,513,502,402,17872.49,8586.36,0.9785575048732943
2024-10-21,8,2024-W43,FRTR-500,803,776,695,20603.07,10970.45,0.9663760896637609
2024-10-21,8,2024-W43,TELM-500,861,831,741,20671.38,11368.67,0.9651567944250871
2024-10-28,9,2024-W44,CFCL-355,996,963,840,29393.829999999998,15465.07,0.9668674698795181
2024-10-28,9,2024-W44,CFMO-355,625,612,535,21343.08,10858.89,0.9792
2024-10-28,9,2024-W44,CFVN-355,775,749,657,24886.82,12870.2,0.9664516129032258
2024-10-28,9,2024-W44,ENRG-473,520,506,404,17921.08,8582.97,0.9730769230769231
2024-10-28,9,2024-W44,FRTR-500,790,767,700,20834.25,11126.41,0.970886075949367
2024-10-28,9,2024-W44,TELM-500,853,824,690,19188.87,10521.11,0.9660023446658851
2024-11-04,10,2024-W45,CFCL-355,1012,972,818,28419.93,14847.61,0.9604743083003953
2024-11-04,10,2024-W45,CFMO-355,657,638,506,19845.44,9923.33,0.9710806697108066
2024-11-04,10,2024-W45,CFVN-355,776,748,699,26442.22,13649.42,0.9639175257731959
2024-11-04,10,2024-W45,ENRG-473,524,510,447,19905.29,9566.98,0.9732824427480916
2024-11-04,10,2024-W45,FRTR-500,796,767,621,18519.670000000002,9902.039999999999,0.9635678391959799
2024-11-04,10,2024-W45,TELM-500,867,835,709,19733.37,10821.44,0.9630911188004614
2024-11-11,11,2024-W46,CFCL-355,1019,981,880,30584.99,15974.99,0.9627085377821394
2024-11-11,11,2024-W46,CFMO-355,634,620,517,20726.57,10582.56,0.9779179810725552
2024-11-11,11,2024-W46,CFVN-355,795,763,648,24350.84,12484.18,0.959748427672956
2024-11-11,11,2024-W46,ENRG-473,521,514,413,18587.62,9029.79,0.9865642994241842
2024-11-11,11,2024-W46,FRTR-500,792,762,644,19257.66,10315.25,0.9621212121212122
2024-11-11,11,2024-W46,TELM-500,880,851,756,21008.51,11499.89,0.9670454545454545
2024-11-18,12,2024-W47,CFCL-355,1137,1109,1011,35442.86,18647.57,0.9753737906772207
2024-11-18,12,2024-W47,CFMO-355,720,692,604,24044.96,12186.619999999999,0.9611111111111111
2024-11-18,12,2024-W47,CFVN-355,896,868,787,29625.53,15204.41,0.96875
2024-11-18,12,2024-W47,ENRG-473,587,570,494,22003.71,10564.18,0.9710391822827938
2024-11-18,12,2024-W47,FRTR-500,903,865,738,21931.05,11677.17,0.9579180509413068
2024-11-18,12,2024-W47,TELM-500,989,954,785,21881.64,12002.21,0.9646107178968655
2024-11-25,13,2024-W48,CFCL-355,1164,1118,949,33190.14,17415.170000000002,0.9604810996563574
2024-11-25,13,2024-W48,CFMO-355,730,706,620,24670.44,12490.45,0.9671232876712329
2024-11-25,13,2024-W48,CFVN-355,899,863,795,29962.37,15385.74,0.9599555061179088
2024-11-25,13,2024-W48,ENRG-473,591,575,489,21898.91,10568.25,0.9729272419627749
2024-11-25,13,2024-W48,FRTR-500,912,873,825,24360.38,12890.71,0.9572368421052632
2024-11-25,13,2024-W48,TELM-500,994,951,871,24253.33,13284.86,0.9567404426559356
2024-12-02,14,2024-W49,CFCL-355,1155,1112,930,32272.66,16803.88,0.9627705627705627
2024-12-02,14,2024-W49,CFMO-355,729,702,592,23704.0,12066.95,0.9629629629629629
2024-12-02,14,2024-W49,CFVN-355,901,868,758,28857.69,14950.77,0.9633740288568258
2024-12-02,14,2024-W49,ENRG-473,579,561,489,22082.78,10745.0,0.9689119170984456
2024-12-02,14,2024-W49,FRTR-500,925,883,716,21320.99,11360.41,0.9545945945945946
2024-12-02,14,2024-W49,TELM-500,991,957,787,22067.14,12150.39,0.9656912209889001
2024-12-09,15,2024-W50,CFCL-355,1177,1131,990,34244.12,17767.39,0.9609175870858114
2024-12-09,15,2024-W50,CFMO-355,739,710,579,23132.54,11744.08,0.9607577807848444
2024-12-09,15,2024-W50,CFVN-355,905,868,766,29011.63,14949.44,0.9591160220994475
2024-12-09,15,2024-W50,ENRG-473,609,588,536,23757.420000000002,11322.4,0.9655172413793104
2024-12-09,15,2024-W50,FRTR-500,939,906,792,23381.88,12357.38,0.9648562300319489
2024-12-09,15,2024-W50,TELM-500,977,946,843,23757.39,13128.49,0.9682702149437052
2024-12-16,16,2024-W51,CFCL-355,1167,1122,989,34723.67,18253.43,0.961439588688946
2024-12-16,16,2024-W51,CFMO-355,735,713,657,26200.35,13269.73,0.9700680272108844
2024-12-16,16,2024-W51,CFVN-355,904,869,770,29316.010000000002,15171.71,0.9612831858407079
2024-12-16,16,2024-W51,ENRG-473,605,586,498,22512.49,10952.13,0.968595041322314
2024-12-16,16,2024-W51,FRTR-500,938,897,818,24368.08,12974.75,0.9562899786780383
2024-12-16,16,2024-W51,TELM-500,1022,978,858,23756.86,12932.11,0.9569471624266145
2024-12-23,17,2024-W52,CFCL-355,1160,1126,910,32117.14,16953.24,0.9706896551724138
2024-12-23,17,2024-W52,CFMO-355,762,732,653,25765.66,12905.83,0.9606299212598425
2024-12-23,17,2024-W52,CFVN-355,922,887,782,29667.010000000002,15293.38,0.9620390455531453
